Ancient of Lore;
Ancient of War;
Bite;
Claw;
Druid of the Claw;
Force of Nature;
Healing Touch;
Tauren Warrior;
Thrallmar Farseer;
Twilight Drake;
Venture Co. Mercenary;
Violet Teacher;
Voodoo Doctor;
War Golem;
Wild Pyromancer;
Windfury Harpy;
Wisp;
Wolfrider;
Worgen Infiltrator;
Young Dragonhawk;
Young Priestess;
Youthful Brewmaster;
Aldor Peacekeeper;
Argent Protector;
Avenging Wrath;
Blessed Champion;
Blessing of Kings;
Blessing of Might;
Blessing of Wisdom;
Consecration;
Divine Favor;
Equality;
Eye for an Eye;
Guardian of Kings;
Hammer of Wrath;
Hand of Protection;
Holy Light;
Holy Wrath;
Humility;
Lay on Hands;
Light's Justice;
Noble Sacrifice;
Redemption;
Repentance;
Sword of Justice;
Truesilver Champion;
Auchenai Soulpriest;
Cabal Shadow Priest;
Circle of Healing;
Divine Spirit;
Holy Fire;
Holy Nova;
Holy Smite;
Inner Fire;
Lightspawn;
Lightwell;
Mass Dispel;
Mind Blast;
Mind Control;
Mindgames;
Mind Vision;
Northshire Cleric;
Power Word: Shield;
Shadowform;
Shadow Madness;
Shadow Word: Death;
Shadow Word: Pain;
Silence;
Temple Enforcer;
Thoughtsteal;
Assassinate;
Assassin's Blade;
Backstab;
Betrayal;
Blade Flurry;
Cold Blood;
Conceal;
Deadly Poison;
Defias Ringleader;
Eviscerate;
Fan of Knives;
Headcrack;
Kidnapper;
Master of Disguise;
Patient Assassin;
Perdition's Blade;
Preparation;
Sap;
Shadowstep;
Shiv;
SI:7 Agent;
Sinister Strike;
Sprint;
Vanish;
Ancestral Healing;
Ancestral Spirit;
Bloodlust;
Doomhammer;
Dust Devil;
Earth Elemental;
Earth Shock;
Far Sight;
Feral Spirit;
Fire Elemental;
Flametongue Totem;
Forked Lightning;
Frost Shock;
Hex;
Lava Burst;
Lightning Bolt;
Lightning Storm;
Mana Tide Totem;
Rockbiter Weapon;
Stormforged Axe;
Totemic Might;
Unbound Elemental;
Windfury;
Windspeaker;
Bane of Doom;
Blood Imp;
Corruption;
Demonfire;
Doomguard;
Drain Life;
Dread Infernal;
Felguard;
Flame Imp;
Hellfire;
Mortal Coil;
Pit Lord;
Power Overwhelming;
Sacrificial Pact;
Sense Demons;
Shadow Bolt;
Shadowflame;
Siphon Soul;
Soulfire;
Succubus;
Summoning Portal;
Twisting Nether;
Void Terror;
Voidwalker;
Arathi Weaponsmith;
Arcanite Reaper;
Armorsmith;
Battle Rage;
Brawl;
Charge;
Cleave;
Commanding Shout;
Cruel Taskmaster;
Execute;
Fiery War Axe;
Frothing Berserker;
Gorehowl;
Grommash Hellscream;
Heroic Strike;
Inner Rage;
Kor'kron Elite;
Mortal Strike;
Rampage;
Shield Block;
Shield Slam;
Slam;
Upgrade!;
Warsong Commander;
Whirlwind;
